"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,615744317901645;0,00024997500249975
"Position";"DropTime";"FisherSim";0,536146385361464;0,197478342743032;0,536146385361464
"Position";"BoutDuration";"FisherSim";0,0844915508449155;0,395126766645355;0,093879500938795
"Position";"Device";"FisherSim";9,99900009999e-05;0,931694990624912;0,00024997500249975
"EpochDuration";"DropTime";"FisherSim";0,0047995200479952;0,394606494769518;0,00685645721142172
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,387394001630647;0,00024997500249975
"EpochDuration";"Device";"FisherSim";9,99900009999e-05;0,775572759476567;0,00024997500249975
"DropTime";"BoutDuration";"FisherSim";0,0001999800019998;0,553760098152096;0,0003999600039996
"DropTime";"Device";"FisherSim";0,0445955404459554;0,410472161002404;0,0557444255574443
"BoutDuration";"Device";"FisherSim";0,0044995500449955;0,41886011165533;0,00685645721142172
