"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"Device";"FisherSim";9,99900009999e-05;0,931694990624912;0,0001999800019998
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,615744317901645;0,0001999800019998
"Position";"DropTime";"FisherSim";0,542045795420458;0,197478342743032;0,542045795420458
"Position";"BoutDuration";"FisherSim";0,0573942605739426;0,399686084115509;0,063771400637714
"Device";"EpochDuration";"FisherSim";9,99900009999e-05;0,775572759476567;0,0001999800019998
"Device";"DropTime";"FisherSim";0,042995700429957;0,410472161002404;0,0537446255374463
"Device";"BoutDuration";"FisherSim";0,0062993700629937;0,418441564906216;0,008999100089991
"EpochDuration";"DropTime";"FisherSim";0,004999500049995;0,394606494769518;0,008332500083325
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,401998292283238;0,0001999800019998
"DropTime";"BoutDuration";"FisherSim";9,99900009999e-05;0,553760098152096;0,0001999800019998
