"var1";"var2";"level1";"level2";"count";"rowPerc";"colPerc";"totPerc"
"Position";"Device";"Thigh";"SenseWear";0;0;0;0
"Position";"Device";"Thigh";"Lifecorder";0;0;0;0
"Position";"Device";"Thigh";"Hookie";0;0;0;0
"Position";"Device";"Thigh";"GENEActiv";2;66,6666666666667;50;2,38095238095238
"Position";"Device";"Thigh";"Axivity";0;0;0;0
"Position";"Device";"Thigh";"ActivPAL";1;33,3333333333333;100;1,19047619047619
"Position";"Device";"Thigh";"Active style";0;0;0;0
"Position";"Device";"Thigh";"Actigraph";0;0;0;0
"Position";"Device";"Thigh";"Actical";0;0;0;0
"Position";"Device";"Hip / Waist";"SenseWear";0;0;0;0
"Position";"Device";"Hip / Waist";"Lifecorder";10;16,1290322580645;100;11,9047619047619
"Position";"Device";"Hip / Waist";"Hookie";8;12,9032258064516;100;9,52380952380952
"Position";"Device";"Hip / Waist";"GENEActiv";0;0;0;0
"Position";"Device";"Hip / Waist";"Axivity";0;0;0;0
"Position";"Device";"Hip / Waist";"ActivPAL";0;0;0;0
"Position";"Device";"Hip / Waist";"Active style";4;6,45161290322581;100;4,76190476190476
"Position";"Device";"Hip / Waist";"Actigraph";34;54,8387096774194;100;40,4761904761905
"Position";"Device";"Hip / Waist";"Actical";6;9,67741935483871;100;7,14285714285714
"Position";"Device";"Upper arm";"SenseWear";3;100;100;3,57142857142857
"Position";"Device";"Upper arm";"Lifecorder";0;0;0;0
"Position";"Device";"Upper arm";"Hookie";0;0;0;0
"Position";"Device";"Upper arm";"GENEActiv";0;0;0;0
"Position";"Device";"Upper arm";"Axivity";0;0;0;0
"Position";"Device";"Upper arm";"ActivPAL";0;0;0;0
"Position";"Device";"Upper arm";"Active style";0;0;0;0
"Position";"Device";"Upper arm";"Actigraph";0;0;0;0
"Position";"Device";"Upper arm";"Actical";0;0;0;0
"Position";"Device";"Wrist";"SenseWear";0;0;0;0
"Position";"Device";"Wrist";"Lifecorder";0;0;0;0
"Position";"Device";"Wrist";"Hookie";0;0;0;0
"Position";"Device";"Wrist";"GENEActiv";2;12,5;50;2,38095238095238
"Position";"Device";"Wrist";"Axivity";14;87,5;100;16,6666666666667
"Position";"Device";"Wrist";"ActivPAL";0;0;0;0
"Position";"Device";"Wrist";"Active style";0;0;0;0
"Position";"Device";"Wrist";"Actigraph";0;0;0;0
"Position";"Device";"Wrist";"Actical";0;0;0;0
"Position";"EpochDuration";"Thigh";"?";1;33,3333333333333;12,5;1,19047619047619
"Position";"EpochDuration";"Thigh";"60s";0;0;0;0
"Position";"EpochDuration";"Thigh";"30s";0;0;0;0
"Position";"EpochDuration";"Thigh";"10s";2;66,6666666666667;14,2857142857143;2,38095238095238
"Position";"EpochDuration";"Thigh";"4-6s";0;0;0;0
"Position";"EpochDuration";"Hip / Waist";"?";2;3,2258064516129;25;2,38095238095238
"Position";"EpochDuration";"Hip / Waist";"60s";38;61,2903225806452;95;45,2380952380952
"Position";"EpochDuration";"Hip / Waist";"30s";4;6,45161290322581;100;4,76190476190476
"Position";"EpochDuration";"Hip / Waist";"10s";0;0;0;0
"Position";"EpochDuration";"Hip / Waist";"4-6s";18;29,0322580645161;100;21,4285714285714
"Position";"EpochDuration";"Upper arm";"?";3;100;37,5;3,57142857142857
"Position";"EpochDuration";"Upper arm";"60s";0;0;0;0
"Position";"EpochDuration";"Upper arm";"30s";0;0;0;0
"Position";"EpochDuration";"Upper arm";"10s";0;0;0;0
"Position";"EpochDuration";"Upper arm";"4-6s";0;0;0;0
"Position";"EpochDuration";"Wrist";"?";2;12,5;25;2,38095238095238
"Position";"EpochDuration";"Wrist";"60s";2;12,5;5;2,38095238095238
"Position";"EpochDuration";"Wrist";"30s";0;0;0;0
"Position";"EpochDuration";"Wrist";"10s";12;75;85,7142857142857;14,2857142857143
"Position";"EpochDuration";"Wrist";"4-6s";0;0;0;0
"Position";"DropTime";"Thigh";"Yes";0;0;0;0
"Position";"DropTime";"Thigh";"No";3;100;4,28571428571429;3,57142857142857
"Position";"DropTime";"Hip / Waist";"Yes";13;20,9677419354839;92,8571428571429;15,4761904761905
"Position";"DropTime";"Hip / Waist";"No";49;79,0322580645161;70;58,3333333333333
"Position";"DropTime";"Upper arm";"Yes";0;0;0;0
"Position";"DropTime";"Upper arm";"No";3;100;4,28571428571429;3,57142857142857
"Position";"DropTime";"Wrist";"Yes";1;6,25;7,14285714285714;1,19047619047619
"Position";"DropTime";"Wrist";"No";15;93,75;21,4285714285714;17,8571428571429
"Position";"BoutDuration";"Thigh";"?";0;0;0;0
"Position";"BoutDuration";"Thigh";"15-60min";0;0;0;0
"Position";"BoutDuration";"Thigh";"10min";2;66,6666666666667;6,89655172413793;2,38095238095238
"Position";"BoutDuration";"Thigh";"2-5min";0;0;0;0
"Position";"BoutDuration";"Thigh";"1min";0;0;0;0
"Position";"BoutDuration";"Thigh";"10-32s";1;33,3333333333333;6,25;1,19047619047619
"Position";"BoutDuration";"Hip / Waist";"?";0;0;0;0
"Position";"BoutDuration";"Hip / Waist";"15-60min";4;6,45161290322581;100;4,76190476190476
"Position";"BoutDuration";"Hip / Waist";"10min";23;37,0967741935484;79,3103448275862;27,3809523809524
"Position";"BoutDuration";"Hip / Waist";"2-5min";7;11,2903225806452;58,3333333333333;8,33333333333333
