"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,615744317901645;0,000187481251874813
"Position";"DropTime";"FisherSim";0,53964603539646;0,197478342743032;0,53964603539646
"Position";"BoutDuration";"FisherSim";0,0552944705529447;0,399686084115509;0,0596726041681546
"Position";"Device";"FisherSim";9,99900009999e-05;0,931694990624912;0,000187481251874813
"Position";"StartYear";"FisherSim";9,99900009999e-05;0,557727449417815;0,000187481251874813
"EpochDuration";"DropTime";"FisherSim";0,0042995700429957;0,394606494769518;0,0071659500716595
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,401998292283238;0,000187481251874813
"EpochDuration";"Device";"FisherSim";9,99900009999e-05;0,775572759476567;0,000187481251874813
"EpochDuration";"StartYear";"FisherSim";9,99900009999e-05;0,507709949163116;0,000187481251874813
"DropTime";"BoutDuration";"FisherSim";9,99900009999e-05;0,553760098152096;0,000187481251874813
"DropTime";"Device";"FisherSim";0,042995700429957;0,410472161002404;0,058630500586305
"DropTime";"StartYear";"FisherSim";0,0501949805019498;0,311442532025115;0,0596726041681546
"BoutDuration";"Device";"FisherSim";0,0053994600539946;0,418441564906216;0,0080991900809919
"BoutDuration";"StartYear";"FisherSim";0,0556944305569443;0,290750360879537;0,0596726041681546
"Device";"StartYear";"FisherSim";9,99900009999e-05;0,82877065832729;0,000187481251874813
