"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,615744317901645;0,000214264287856929
"Position";"DropTime";"FisherSim";0,542845715428457;0,197478342743032;0,542845715428457
"Position";"BoutDuration";"FisherSim";0,0591940805919408;0,399686084115509;0,0634222292056509
"Position";"Device";"FisherSim";9,99900009999e-05;0,931694990624912;0,000214264287856929
"Position";"StartYear";"FisherSim";9,99900009999e-05;0,557727449417815;0,000214264287856929
"EpochDuration";"DropTime";"FisherSim";0,0051994800519948;0,394606494769518;0,0077992200779922
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,401998292283238;0,000214264287856929
"EpochDuration";"Device";"FisherSim";9,99900009999e-05;0,775572759476567;0,000214264287856929
"EpochDuration";"StartYear";"FisherSim";9,99900009999e-05;0,507709949163116;0,000214264287856929
"DropTime";"BoutDuration";"FisherSim";0,0001999800019998;0,553760098152096;0,000374962503749625
"DropTime";"Device";"FisherSim";0,0418958104189581;0,410472161002404;0,0571306505713065
"DropTime";"StartYear";"FisherSim";0,0506949305069493;0,311442532025115;0,060570865990324
"BoutDuration";"Device";"FisherSim";0,0044995500449955;0,418441564906216;0,0074992500749925
"BoutDuration";"StartYear";"FisherSim";0,0524947505249475;0,290750360879537;0,060570865990324
"Device";"StartYear";"FisherSim";9,99900009999e-05;0,82877065832729;0,000214264287856929
