"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,539048799506491;0,000187481251874813
"Position";"DropTime";"FisherSim";0,200879912008799;0,251897885023535;0,200879912008799
"Position";"BoutDuration";"FisherSim";0,0481951804819518;0,357914452056473;0,0516376933735198
"Position";"Device";"FisherSim";9,99900009999e-05;0,939438472097637;0,000187481251874813
"Position";"StartYear";"FisherSim";9,99900009999e-05;0,482626413113899;0,000187481251874813
"EpochDuration";"DropTime";"FisherSim";0,0214978502149785;0,350321183085867;0,0268723127687231
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,496030669394795;0,000187481251874813
"EpochDuration";"Device";"FisherSim";9,99900009999e-05;0,751583953826704;0,000187481251874813
"EpochDuration";"StartYear";"FisherSim";9,99900009999e-05;0,450846014551063;0,000187481251874813
"DropTime";"BoutDuration";"FisherSim";9,99900009999e-05;0,550208383053945;0,000187481251874813
"DropTime";"Device";"FisherSim";0,0206979302069793;0,417178789563285;0,0268723127687231
"DropTime";"StartYear";"FisherSim";0,0018998100189981;0,380431191093031;0,00284971502849715
"BoutDuration";"Device";"FisherSim";0,0011998800119988;0,435246552549961;0,001999800019998
"BoutDuration";"StartYear";"FisherSim";0,0326967303269673;0,292511794799184;0,0377269965311161
"Device";"StartYear";"FisherSim";9,99900009999e-05;0,804245607515688;0,000187481251874813
