"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,496193573369142;0,000187481251874813
"Position";"DropTime";"FisherSim";0,153184681531847;0,268542528461579;0,153184681531847
"Position";"BoutDuration";"FisherSim";0,0996900309969003;0,32765327688987;0,106810747496679
"Position";"Device";"FisherSim";9,99900009999e-05;0,94889503408664;0,000187481251874813
"Position";"StartYear";"FisherSim";9,99900009999e-05;0,501408221146411;0,000187481251874813
"EpochDuration";"DropTime";"FisherSim";0,0160983901609839;0,347642246510261;0,0201229877012299
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,482859748609754;0,000187481251874813
"EpochDuration";"Device";"FisherSim";9,99900009999e-05;0,707778563580866;0,000187481251874813
"EpochDuration";"StartYear";"FisherSim";9,99900009999e-05;0,431081385684392;0,000187481251874813
"DropTime";"BoutDuration";"FisherSim";9,99900009999e-05;0,532363959350658;0,000187481251874813
"DropTime";"Device";"FisherSim";0,0151984801519848;0,423365672407312;0,0201229877012299
"DropTime";"StartYear";"FisherSim";0,0021997800219978;0,371629315094664;0,0032996700329967
"BoutDuration";"Device";"FisherSim";0,0012998700129987;0,402840000643712;0,0021664500216645
"BoutDuration";"StartYear";"FisherSim";0,0223977602239776;0,289402219092061;0,0258435694892049
"Device";"StartYear";"FisherSim";9,99900009999e-05;0,79975456976231;0,000187481251874813
