"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,496193573369142;0,000187481251874813
"Position";"DropTime";"FisherSim";0,160683931606839;0,268542528461579;0,160683931606839
"Position";"BoutDuration";"FisherSim";0,101289871012899;0,32765327688987;0,108524861799534
"Position";"Device";"FisherSim";9,99900009999e-05;0,933080854456023;0,000187481251874813
"Position";"StartYear";"FisherSim";9,99900009999e-05;0,501408221146411;0,000187481251874813
"EpochDuration";"DropTime";"FisherSim";0,0191980801919808;0,347642246510261;0,026179200261792
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,482859748609754;0,000187481251874813
"EpochDuration";"Device";"FisherSim";9,99900009999e-05;0,729560230021738;0,000187481251874813
"EpochDuration";"StartYear";"FisherSim";9,99900009999e-05;0,431081385684392;0,000187481251874813
"DropTime";"BoutDuration";"FisherSim";9,99900009999e-05;0,532363959350658;0,000187481251874813
"DropTime";"Device";"FisherSim";0,0231976802319768;0,426236826257591;0,0276895387384338
"DropTime";"StartYear";"FisherSim";0,002999700029997;0,371629315094664;0,0044995500449955
"BoutDuration";"Device";"FisherSim";0,000999900009999;0,409667718493424;0,001666500016665
"BoutDuration";"StartYear";"FisherSim";0,023997600239976;0,289402219092061;0,0276895387384338
"Device";"StartYear";"FisherSim";9,99900009999e-05;0,801659905093678;0,000187481251874813
