"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"EpochDuration";"FisherSim";0,000999900009999;0,456804237338881;0,0024997500249975
"Position";"DropTime";"FisherSim";1;0,124611196569807;1
"Position";"BoutDuration";"FisherSim";0,0044995500449955;0,47325246357078;0,00843665633436656
"Position";"Device";"FisherSim";9,99900009999e-05;0,955956491610792;0,000374962503749625
"Position";"StartYear";"FisherSim";9,99900009999e-05;0,522828429888398;0,000374962503749625
"EpochDuration";"DropTime";"FisherSim";1;0,109185432295366;1
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,671494830190005;0,000374962503749625
"EpochDuration";"Device";"FisherSim";0,0001999800019998;0,708064992393218;0,0005999400059994
"EpochDuration";"StartYear";"FisherSim";0,0260973902609739;0,377989872994002;0,0391460853914609
"DropTime";"BoutDuration";"FisherSim";0,239176082391761;0,500175284843246;0,326149203261492
"DropTime";"Device";"FisherSim";0,320667933206679;0,719383122748015;0,400834916508349
"DropTime";"StartYear";"FisherSim";0,432756724327567;0,255376959227625;0,499334681916424
"BoutDuration";"Device";"FisherSim";0,0037996200379962;0,587809249043981;0,00814204293856329
"BoutDuration";"StartYear";"FisherSim";0,0163983601639836;0,380831972400357;0,027330600273306
"Device";"StartYear";"FisherSim";9,99900009999e-05;0,677601297606873;0,000374962503749625
