"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,496193573369142;0,000187481251874813
"Position";"DropTime";"FisherSim";0,161583841615838;0,268542528461579;0,161583841615838
"Position";"BoutDuration";"FisherSim";0,101889811018898;0,32765327688987;0,117565166560267
"Position";"Device";"FisherSim";9,99900009999e-05;0,933080854456023;0,000187481251874813
"Position";"StartYear";"FisherSim";9,99900009999e-05;0,503825694056631;0,000187481251874813
"EpochDuration";"DropTime";"FisherSim";0,0220977902209779;0,347642246510261;0,0292470752924708
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,482859748609754;0,000187481251874813
"EpochDuration";"Device";"FisherSim";9,99900009999e-05;0,729560230021738;0,000187481251874813
"EpochDuration";"StartYear";"FisherSim";9,99900009999e-05;0,383238353994203;0,000187481251874813
"DropTime";"BoutDuration";"FisherSim";9,99900009999e-05;0,532363959350658;0,000187481251874813
"DropTime";"Device";"FisherSim";0,0233976602339766;0,426236826257591;0,0292470752924708
"DropTime";"StartYear";"FisherSim";0,0027997200279972;0,362488734771104;0,0041995800419958
"BoutDuration";"Device";"FisherSim";0,0008999100089991;0,409667718493424;0,0014998500149985
"BoutDuration";"StartYear";"FisherSim";0,141685831416858;0,237453692790368;0,151806247946634
"Device";"StartYear";"FisherSim";9,99900009999e-05;0,716336742521588;0,000187481251874813
