"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Device";"StartYear";"FisherSim";9,99900009999e-05;0,716336742521588;0,000187481251874813
"Device";"Position";"FisherSim";9,99900009999e-05;0,933080854456023;0,000187481251874813
"Device";"EpochDuration";"FisherSim";9,99900009999e-05;0,729560230021738;0,000187481251874813
"Device";"DropTime";"FisherSim";0,0244975502449755;0,426236826257591;0,0306219378062194
"Device";"BoutDuration";"FisherSim";0,000999900009999;0,409667718493424;0,001666500016665
"StartYear";"Position";"FisherSim";9,99900009999e-05;0,503825694056631;0,000187481251874813
"StartYear";"EpochDuration";"FisherSim";9,99900009999e-05;0,383238353994203;0,000187481251874813
"StartYear";"DropTime";"FisherSim";0,002999700029997;0,362488734771104;0,0044995500449955
"StartYear";"BoutDuration";"FisherSim";0,145885411458854;0,237453692790368;0,156305797991629
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,496193573369142;0,000187481251874813
"Position";"DropTime";"FisherSim";0,15958404159584;0,268542528461579;0,15958404159584
"Position";"BoutDuration";"FisherSim";0,0923907609239076;0,32765327688987;0,10660472414297
"EpochDuration";"DropTime";"FisherSim";0,0174982501749825;0,347642246510261;0,0238612502386125
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,482859748609754;0,000187481251874813
"DropTime";"BoutDuration";"FisherSim";9,99900009999e-05;0,532363959350658;0,000187481251874813
