"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,496193573369142;0,000187481251874813
"Position";"DropTime";"FisherSim";0,154184581541846;0,268542528461579;0,154184581541846
"Position";"BoutDuration";"FisherSim";0,100989901009899;0,32765327688987;0,108203465367749
"Position";"Device";"FisherSim";9,99900009999e-05;0,933080854456023;0,000187481251874813
"Position";"StartYear";"FisherSim";9,99900009999e-05;0,442393999693837;0,000187481251874813
"EpochDuration";"DropTime";"FisherSim";0,0208979102089791;0,347642246510261;0,0261223877612239
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,482859748609754;0,000187481251874813
"EpochDuration";"Device";"FisherSim";9,99900009999e-05;0,729560230021738;0,000187481251874813
"EpochDuration";"StartYear";"FisherSim";9,99900009999e-05;0,460109004015493;0,000187481251874813
"DropTime";"BoutDuration";"FisherSim";9,99900009999e-05;0,532363959350658;0,000187481251874813
"DropTime";"Device";"FisherSim";0,0241975802419758;0,426236826257591;0,0279202848945875
"DropTime";"StartYear";"FisherSim";0,0022997700229977;0,363985156457675;0,00344965503449655
"BoutDuration";"Device";"FisherSim";0,0012998700129987;0,409667718493424;0,0021664500216645
"BoutDuration";"StartYear";"FisherSim";0,0066993300669933;0,311677615507635;0,0091354500913545
"Device";"StartYear";"FisherSim";9,99900009999e-05;0,781604023720103;0,000187481251874813
