var1;var2;level1;level2;count;rowPerc;colPerc;totPerc;;
Position;EpochDuration;Thigh;?;2;33,33333333;22,22222222;1,769911504;;
Position;EpochDuration;Thigh;1s⁣;2;33,33333333;100;1,769911504;;
Position;EpochDuration;Thigh;4-6s;0;0;0;0;;
Position;EpochDuration;Thigh;10s;2;33,33333333;15,38461538;1,769911504;;
Position;EpochDuration;Thigh;30s;0;0;0;0;;
Position;EpochDuration;Thigh;60s;0;0;0;0;;
Position;EpochDuration;Upper arm;?;3;42,85714286;33,33333333;2,654867257;;
Position;EpochDuration;Upper arm;1s⁣;0;0;0;0;;
Position;EpochDuration;Upper arm;4-6s;0;0;0;0;;
Position;EpochDuration;Upper arm;10s;0;0;0;0;;
Position;EpochDuration;Upper arm;30s;0;0;0;0;;
Position;EpochDuration;Upper arm;60s;4;57,14285714;5,970149254;3,539823009;;
Position;EpochDuration;Wrist;?;2;8,333333333;22,22222222;1,769911504;24;0,212389381
Position;EpochDuration;Wrist;1s⁣;0;0;0;0;;
Position;EpochDuration;Wrist;4-6s;0;0;0;0;;
Position;EpochDuration;Wrist;10s;11;45,83333333;84,61538462;9,734513274;;
Position;EpochDuration;Wrist;30s;0;0;0;0;;
Position;EpochDuration;Wrist;60s;11;45,83333333;16,41791045;9,734513274;;
Position;EpochDuration;Chest;?;1;16,66666667;11,11111111;0,884955752;;
Position;EpochDuration;Chest;1s⁣;0;0;0;0;;
Position;EpochDuration;Chest;4-6s;0;0;0;0;;
Position;EpochDuration;Chest;10s;0;0;0;0;;
Position;EpochDuration;Chest;30s;0;0;0;0;;
Position;EpochDuration;Chest;60s;5;83,33333333;7,462686567;4,424778761;;
Position;EpochDuration;Hip / Waist;?;1;1,428571429;11,11111111;0,884955752;70;0,619469027
Position;EpochDuration;Hip / Waist;1s⁣;0;0;0;0;;
Position;EpochDuration;Hip / Waist;4-6s;18;25,71428571;100;15,92920354;;
Position;EpochDuration;Hip / Waist;10s;0;0;0;0;;
