"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,496193573369142;0,000187481251874813
"Position";"DropTime";"FisherSim";0,153684631536846;0,268542528461579;0,153684631536846
"Position";"BoutDuration";"FisherSim";0,0976902309769023;0,32765327688987;0,10466810461811
"Position";"Device";"FisherSim";9,99900009999e-05;0,933080854456023;0,000187481251874813
"Position";"StartYear";"FisherSim";9,99900009999e-05;0,442393999693837;0,000187481251874813
"EpochDuration";"DropTime";"FisherSim";0,0186981301869813;0,347642246510261;0,0233726627337266
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,482859748609754;0,000187481251874813
"EpochDuration";"Device";"FisherSim";9,99900009999e-05;0,729560230021738;0,000187481251874813
"EpochDuration";"StartYear";"FisherSim";9,99900009999e-05;0,460109004015493;0,000187481251874813
"DropTime";"BoutDuration";"FisherSim";9,99900009999e-05;0,532363959350658;0,000187481251874813
"DropTime";"Device";"FisherSim";0,0236976302369763;0,426236826257591;0,0273434195042034
"DropTime";"StartYear";"FisherSim";0,002999700029997;0,363985156457675;0,0044995500449955
"BoutDuration";"Device";"FisherSim";0,0005999400059994;0,409667718493424;0,000999900009999
"BoutDuration";"StartYear";"FisherSim";0,0073992600739926;0,311677615507635;0,010089900100899
"Device";"StartYear";"FisherSim";9,99900009999e-05;0,781604023720103;0,000187481251874813
