"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,496193573369142;0,000187481251874813
"Position";"DropTime";"FisherSim";0,157884211578842;0,268542528461579;0,157884211578842
"Position";"BoutDuration";"FisherSim";0,0955904409559044;0,32765327688987;0,102418329595612
"Position";"Device";"FisherSim";9,99900009999e-05;0,933080854456023;0,000187481251874813
"Position";"StartYear";"FisherSim";9,99900009999e-05;0,442393999693837;0,000187481251874813
"EpochDuration";"DropTime";"FisherSim";0,0166983301669833;0,347642246510261;0,0208729127087291
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,482859748609754;0,000187481251874813
"EpochDuration";"Device";"FisherSim";9,99900009999e-05;0,729560230021738;0,000187481251874813
"EpochDuration";"StartYear";"FisherSim";9,99900009999e-05;0,460109004015493;0,000187481251874813
"DropTime";"BoutDuration";"FisherSim";9,99900009999e-05;0,532363959350658;0,000187481251874813
"DropTime";"Device";"FisherSim";0,0220977902209779;0,426236826257591;0,0254974502549745
"DropTime";"StartYear";"FisherSim";0,0020997900209979;0,363985156457675;0,00314968503149685
"BoutDuration";"Device";"FisherSim";0,000999900009999;0,409667718493424;0,001666500016665
"BoutDuration";"StartYear";"FisherSim";0,0070992900709929;0,311677615507635;0,0096808500968085
"Device";"StartYear";"FisherSim";9,99900009999e-05;0,781604023720103;0,000187481251874813
