"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,615744317901645;0,0001999800019998
"Position";"DropTime";"FisherSim";0,543245675432457;0,197478342743032;0,543245675432457
"Position";"BoutDuration";"FisherSim";0,0816918308169183;0,395126766645355;0,090768700907687
"Position";"Device";"FisherSim";9,99900009999e-05;0,931694990624912;0,0001999800019998
"EpochDuration";"DropTime";"FisherSim";0,0058994100589941;0,394606494769518;0,00842772865570586
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,387394001630647;0,0001999800019998
"EpochDuration";"Device";"FisherSim";9,99900009999e-05;0,775572759476567;0,0001999800019998
"DropTime";"BoutDuration";"FisherSim";9,99900009999e-05;0,553760098152096;0,0001999800019998
"DropTime";"Device";"FisherSim";0,0432956704329567;0,410472161002404;0,0541195880411959
"BoutDuration";"Device";"FisherSim";0,004999500049995;0,41886011165533;0,008332500083325
